customer_id,trans_date,tran_amount
CS5295,11-Feb-13,35
CS4768,15-Mar-15,39
CS2122,26-Feb-13,52
CS1217,16-Nov-11,99
CS1850,20-Nov-13,78
CS5539,26-Mar-14,81
CS2724,06-Feb-12,93
CS5902,30-Jan-15,89
CS6040,08-Jan-13,76
CS3802,20-Aug-13,75
CS3494,02-Jul-13,94
CS3780,25-Mar-13,80
CS1171,03-Nov-12,59
CS2892,12-May-13,43
CS5552,29-Dec-14,78
CS6043,15-Jan-14,98
CS4147,08-Jul-13,81
CS4655,30-Dec-13,93
CS3904,20-Jul-14,103
CS4102,09-Jul-11,96
CS2086,05-Mar-13,75
CS6085,09-Jan-13,49
CS1328,06-Feb-13,54
CS4564,27-Mar-12,48
CS5910,01-Jan-12,98
CS2748,23-Mar-13,37
CS5147,29-Apr-13,72
CS1770,02-Nov-12,83
CS3510,24-Oct-11,81
CS2509,05-Dec-11,105
CS2859,27-Feb-15,77
CS1512,21-Feb-15,71
CS4148,22-Aug-13,48
CS1735,31-Mar-12,70
CS1588,27-Jan-12,70
CS5514,09-Jan-13,36
CS5933,07-Oct-13,48
CS2797,06-Mar-14,87
CS5313,02-Dec-12,88
CS5966,09-Mar-12,39
CS5211,18-May-14,51
CS1511,13-Jan-15,47
CS6087,24-Nov-14,37
CS5909,04-Feb-12,80
CS2845,08-Mar-13,105
CS1433,05-Nov-12,78
CS4897,12-Apr-14,45
CS2296,28-Dec-12,79
CS1494,29-Jun-13,59
CS3688,19-Jun-14,55
CS2287,23-Dec-11,94
CS3779,26-Jun-11,69
CS1423,05-Jun-14,78
CS2501,14-Nov-12,59
CS3434,22-Feb-13,98
CS2662,31-Aug-14,88
CS2209,12-Mar-12,35
CS4530,05-Jun-11,40
CS2848,04-Feb-13,53
CS2596,19-Sep-11,55
CS4421,20-May-12,86
CS4905,13-Apr-12,93
CS5704,04-Dec-11,79
CS2403,27-Jul-14,94
CS5480,28-Jan-12,63
CS5811,23-Aug-13,91
CS2051,09-Dec-14,101
CS3957,30-Aug-12,69
CS4704,25-Nov-14,41
CS2289,19-May-12,67
CS5218,21-Jun-14,45
CS4637,20-May-11,71
CS3158,06-May-12,91
CS4176,30-Jul-12,49
CS1939,25-Nov-11,101
CS5403,01-Dec-11,64
CS5489,02-Dec-14,77
CS4563,30-May-11,101
CS3508,23-May-12,67
CS2703,12-Oct-14,40
CS2596,01-May-13,76
CS5990,19-Oct-12,103
CS4215,09-Jul-11,54
CS4811,26-Jan-12,77
CS2070,30-Jan-13,41
CS3419,29-Jan-15,38
CS3668,14-Aug-14,102
CS4623,27-Sep-13,89
CS4708,02-Jul-13,48
CS1816,22-Sep-13,64
CS5376,08-Dec-13,44
CS4568,15-Nov-11,70
CS1779,27-Jan-12,53
CS2447,10-Jul-11,82
CS1985,16-Aug-11,87
CS2544,07-Nov-11,64
CS2158,11-Sep-12,89
CS5776,09-Sep-14,87
CS5653,04-Sep-13,98
CS2291,15-Oct-14,67
CS6088,29-Oct-12,48
CS4245,02-Jun-14,102
CS3344,02-Jul-14,56
CS1481,23-Dec-13,50
CS5400,23-Dec-11,56
CS5463,27-Aug-14,91
CS5951,07-Aug-14,104
CS5515,19-Feb-12,41
CS3039,01-May-12,92
CS1836,24-Mar-12,63
CS4320,09-Apr-14,52
CS4889,01-Dec-11,38
CS1319,26-Sep-11,95
CS4859,07-Jan-15,50
CS4148,08-Feb-14,40
CS5264,03-Apr-13,81
CS4041,29-Dec-14,49
CS2183,04-Jan-13,39
CS2516,15-Feb-15,55
CS1890,03-Nov-12,37
CS3730,11-Feb-13,89
CS5382,07-Mar-13,48
CS5970,13-Jun-14,40
CS5260,30-Jan-15,46
CS2437,13-Nov-11,90
CS4675,11-Sep-11,67
CS2920,11-Oct-11,87
CS2548,28-Sep-13,73
CS1818,26-Dec-11,46
CS6098,28-Sep-12,42
CS2712,26-Dec-11,65
CS2714,14-Dec-11,69
CS2615,17-Aug-13,39
CS5445,27-Jul-14,72
CS5812,02-Nov-14,62
CS4636,22-Sep-13,66
CS3147,04-Jun-14,84
CS1273,01-Feb-12,91
CS4243,11-Nov-11,48
CS2357,13-Apr-12,71
CS1776,03-May-14,79
CS5643,02-Mar-13,104
CS4522,06-Mar-15,82
CS2418,01-Feb-15,51
CS1330,21-Nov-14,41
CS1195,29-Dec-14,83
CS4306,07-Mar-15,54
CS2137,29-Sep-13,73
CS3518,19-Jun-13,54
CS5835,18-Sep-11,52
CS4701,15-Jan-15,95
CS4548,28-Jun-12,38
CS2384,15-Oct-12,35
CS4081,17-Feb-13,74
CS5976,02-Jan-12,99
CS3874,08-Sep-11,44
CS5356,17-Jun-14,105
CS4667,17-Sep-14,66
CS4328,04-Jun-12,56
CS3291,02-Aug-13,42
CS4282,11-Sep-11,44
CS4331,25-Sep-11,70
CS1243,17-Mar-13,36
CS2390,20-May-14,104
CS2207,05-Apr-14,71
CS1270,18-Nov-11,104
CS1219,11-Nov-14,91
CS5427,13-Nov-12,96
CS5474,18-May-11,69
CS5109,23-May-12,92
CS5287,14-Mar-15,94
CS3477,05-May-13,80
CS3970,13-Dec-11,86
CS5760,08-Dec-11,59
CS2149,04-Apr-13,83
CS4934,19-Jul-14,80
CS1517,18-Oct-13,89
CS1641,29-Dec-12,64
CS2187,19-Nov-11,70
CS5359,12-Aug-14,96
CS3124,08-Dec-11,71
CS1721,30-Aug-12,96
CS5212,22-Jan-15,42
CS5111,23-Aug-11,81
CS3137,04-Apr-12,67
CS1511,25-Jan-15,69
CS2509,23-Feb-14,92
CS5994,11-Jan-14,42
CS2613,25-Aug-13,103
CS1934,18-Aug-14,89
CS3127,02-Oct-11,39
CS5225,18-Mar-14,104
CS1815,17-Nov-12,83
